Codigo;Cod Barras;Nome;Venda;
545431;7897185985900;GRAMPEADOR GRAMPOS G050 GOLLER;4,99;
565810;7899842273245;GRAMPEADOR GRANDE 15CM AX3798 4244;16,90;
4152;7891331005009;GRAMPEADOR LW0500;2,90;
260640;7898494681385;GRAMPEADOR MASTERPAPER YF9909;7,00;
470896;7503002941461;GRAMPEADOR METAL 11 5CM LEONORA;5,90;
545430;7897185952339;GRAMPEADOR METAL G151 GOLLER;14,90;
548718;7898936754394;GRAMPEADOR METAL PQ;0,00;
552846;7897975018047;GRAMPEADOR PLAST MX-G20A 712003 MAXPRINT;14,90;
390699;3154143927100;GRAMPEADOR USO CONS;0,00;
549040;7898549368551;GRAMPEADOR WPG0102 WINCY;12,90;
549041;7898549368582;GRAMPEADOR WPG0105 WINCY;8,90;
542058;7898494681453;GRAMPEADOR YF9947 MASTERPAPER;6,90;
552847;7897975018429;GRAMPO 26/6 MX-S26C 712109 MAXPRINT;5,99;
558027;5580279;GRAMPO 266 CX 5000 PRATEADO ACC GALV EXTRA;0,00;
2703;7899471654903;GRAMPO BJ6143;1,50;
2687;7899471655337;GRAMPO BJ6186;1,98;
2708;7899471655344;GRAMPO BJ6187;1,98;
300711;7899050504902;GRAMPO CABELO 80UN E175;1,95;
566043;7897256220237;GRAMPO COBREADO 266 CX5000 UND JOCAR;4,90;
557382;5573820;GRAMPO DE CABELO BISCUIT SORT IG COM;0,00;
543900;7899471654910;GRAMPO DE CABELO BJ6144;1,75;
556938;7899658322274;GRAMPO DE CABELO C/ 80 E175 ZEIN;4,99;
557372;5573721;GRAMPO DE CABELO DOURADO IG COM;0,00;
557381;5573813;GRAMPO DE CABELO FLORES SORTIDO IG COM;0,00;
568774;7898549332316;GRAMPO DE GRAMPEADOR 26 WPG2661 WINPAPER;5,90;
566508;8989790900122;GRAMPO DE PLASTICO 8PCS DT012 RUTMAR;3,99;
10573;7891236363631;GRAMPO GRAMPEADOR 1000;0,00;
271172;7897185971439;GRAMPO GRAMPEADOR 26/6 GOLLER;3,40;
61933;7897256240044;GRAMPO GRAMPEADOR 26/6 LEONORA;3,40;
560396;7898936754011;GRAMPO GRAMPEADOR 26/6 X5000 BRW;0,00;
573160;7899687436904;GRAMPO GRAMPEADOR 5000 UND 26/6 RN3690 REAL;5,90;
120609;7899055281945;GRAMPO MASTERPAPER RMI8194;3,40;
564188;7897476665306;GRAMPO NIQUEL TRIS 26 6 OC107569;2,49;
561186;7899653754919;GRAMPO P/CAB COLOR X10 BJ8227;0,00;
561522;7899653752731;GRAMPO P/CAB DEC X2 BJ8008N CRT;0,00;
41126;7897186083124;GRAMPO SARGENTO C/2 WEST 835 2;0,00;
544459;5444595;GRAMPO USO E CONSUMO;0,00;
450461;7503002900727;GRAMPOS 93010 JOCAR OFFICE;4,90;
570916;6922311211088;GRAMPOS P/ GRAMPEADOR RT1108 RIO TIJUCAS;4,99;
541792;6947860513698;GRAMPOS P/GRAMPEADOR 6797 DL396;1,00;
542059;7898494695511;GRAMPOS RMI9551 MASTERPAPER;2,90;
280402;7896042027609;GRAN BOX 56L 2760 PLASUTIL;59,90;
151894;7896042028903;GRAN BOX ALTA 19 8L 2890 PLASUTIL;34,90;
576936;7899808896129;GRAN BOX ALTA 19,8L 12915 PLASUTIL;29,90;
544057;7896042027616;GRAN BOX ALTA 2761 PLASUTIL;74,90;
576937;7899808896112;GRAN BOX ALTA 29L 12916 PLASUTIL;39,90;
280426;7896042027715;GRAN BOX BAIXA 13 7L 2771 PLASUTIL;28,90;
280419;7896042027722;GRAN BOX BAIXA 26 5L 2772 PLASUTIL;44,90;
547857;7896042027739;GRAN BOX BAIXA 38L REF 2773;59,90;
